movie_production_co_id,movie_id,production_co_id
151,9089,1382
152,11359,4
153,11359,441
154,11359,862
155,17182,4
156,2054,915
157,2054,916
158,2054,1382
159,2054,10201
160,10607,14
161,10607,3492
162,10607,5441
163,19760,6194
164,19760,10210
165,9536,8411
166,9536,11061
167,9536,36390
168,9536,38003
169,11525,12
170,40628,14
171,4482,82
172,4482,1614
173,4482,3823
174,4482,5358
175,10634,12
176,755,59
177,755,7405
178,755,11705
179,755,53009
180,11859,1885
181,11859,6194
182,28387,5841
183,28387,5842
184,48750,1742
185,48750,5358
186,48750,22123
187,20927,12
188,20927,4286
189,36929,6194
190,36929,10210
191,9102,3388
192,9102,4899
193,9102,7958
194,9102,23096
195,9102,23097
196,9102,23098
197,124626,4606
198,124626,83201
199,124626,93174
200,27526,14
201,9623,441
202,46785,38953
203,46785,38954
204,400,14
205,880,575
206,880,576
207,880,577
208,146599,38196
209,146599,38197
210,8447,2492
211,8447,8888
212,10534,915
213,10534,1644
214,10534,1645
215,17414,306
216,17414,3311
217,13997,4
218,2086,4
219,61548,14
220,61548,4665
221,9095,559
222,9095,18737
223,12158,4
224,9283,14
225,9283,979
226,9208,306
227,9208,456
228,9208,11362
229,40154,97
230,40154,75942
231,406,802
232,406,1382
233,406,5358
234,406,5869
235,406,16366
236,406,22684
237,406,68517
238,406,68518
239,45549,181
240,63076,3324
241,63076,7025
242,63076,12113
243,63076,12911
244,63076,12912
245,63076,12913
246,11062,5
247,11062,97
248,13685,18
249,13685,441
250,47475,9195
251,2045,8411
252,2045,10308
253,2045,10355
254,9614,33
255,9614,1606
256,9614,3929
257,688,56
258,688,171
259,688,6194
260,10874,2
261,10874,2504
262,10874,6254
263,197,4564
264,197,7965
265,197,11353
266,103,441
267,103,46059
268,103,46060
269,33542,12
270,33542,2521
271,43566,175
272,43566,915
273,71754,806
274,71754,2055
275,71754,3498
276,71754,9116
277,71754,12745
278,71754,17027
279,71754,22150
280,71754,38673
281,71754,38674
282,71754,40534
283,71754,85045
284,43612,83
285,43612,591
286,43612,694
287,43612,883
288,43612,885
289,16934,3236
290,10324,559
291,10324,11061
292,78406,11308
293,55731,559
294,11066,4
295,11104,540
296,11104,10932
297,37975,371
298,2074,14
299,27793,264
300,27793,1766
301,27793,1979
302,27793,6194
303,27793,53009
304,44284,22029
305,44284,22618
306,44284,71842
307,73067,8
308,73067,181
309,73067,1898
310,73067,5358
311,11863,4
312,55475,93488
313,55475,93489
314,9101,306
315,123360,68229
316,39428,181
317,39428,38778
318,39428,94477
319,39428,94478
320,9302,1504
321,9302,9195
322,11000,60
323,16388,43
324,9737,5
325,9737,10288
326,30765,6194
327,10474,12
328,10474,3492
329,22279,8
330,22279,5996
331,22279,12745
332,22279,16027
333,30157,181
334,30157,3644
335,30157,3906
336,30157,7248
337,30157,16366
338,30157,37909
339,568,23
340,568,33
341,11780,60
342,11780,8989
343,34996,236
344,34996,1214
345,34996,5353
346,414,6194
347,414,31080
348,649,386
349,649,387
350,649,11290
351,1873,5
352,1873,97
353,5894,14
354,5894,30334
355,1775,1382
356,8839,33
357,8839,56
358,8839,11098
359,20649,33
360,20649,4319
361,10329,4
362,10329,7383
363,8963,915
364,8963,10288
365,26564,4532
366,8068,5
367,8068,11705
368,8512,559
369,8512,2510
370,1572,306
371,1572,1504
372,13552,729
373,13552,1474
374,13552,2765
375,13552,18902
376,259209,9195
377,259209,20740
378,6520,441
379,6520,10158
380,9073,508
381,9073,644
382,9073,5358
383,9073,5739
384,9073,6194
385,10428,60
386,10428,87394
387,17447,12909
388,17447,12910
389,9886,559
390,9886,2480
391,9482,915
392,9482,1504
393,19326,559
394,9344,14
395,9071,13187
396,9071,13190
397,8973,60
398,8973,3557
399,15730,1203
400,15730,2267
401,15730,4350
402,15730,7320
403,15730,7828
404,15730,11578
405,15730,35859
406,47608,9195
407,2293,33
408,2293,37
409,2293,11462
410,2293,16934
411,9070,306
412,9070,2106
413,9070,9255
414,68274,1382
415,68274,10163
416,48787,16561
417,48787,38959
418,48787,38960
419,34574,37897
420,1642,5
421,11472,306
422,11472,436
423,36196,37890
424,11980,7405
425,58372,2492
426,58372,3906
427,58372,28205
428,32646,1422
429,32646,3906
430,32646,38692
431,32646,39861
432,10533,915
433,10533,1504
434,10802,60
435,10802,183
436,10802,14723
437,10149,14
438,18402,705
439,18402,6194
440,18402,16368
441,9348,8411
442,139408,171
443,139408,3864
444,139408,6194
445,281,574
446,5967,1080
447,5967,1147
448,5967,14680
449,79593,915
450,79593,1382
451,79593,10201
452,47939,11308
453,36834,6849
454,36834,16026
455,36834,16027
456,9090,33
457,9090,56
458,3512,508
459,3512,6194
460,3512,17825
461,3512,21480
462,3512,63906
463,52856,915
464,9560,306
465,9560,2851
466,9804,33
467,9804,1073
468,9804,1302
469,9804,6092
470,31611,6068
471,31611,6911
472,31611,11661
473,65796,60
474,49805,4
475,26258,306
476,50797,5358
477,50797,6453
478,50797,6454
479,19155,6367
480,19155,12745
481,76,98
482,76,6194
483,11017,6365
484,37141,18189
485,9382,508
486,9382,644
487,9382,5358
488,9382,10104
489,9382,16192
490,6715,33
491,6715,1595
492,18256,4867
493,22625,364
494,22625,1898
495,22625,4127
496,22625,23808
497,2292,14
498,2292,16934
499,1909,12
500,1909,70
501,8984,6194
502,8984,11407
503,61813,15709
504,61813,52095
505,4954,4
506,62488,11308
507,62488,11661
508,10531,8
509,10531,181
510,10531,826
511,10531,3823
512,10531,5358
513,10531,8277
514,10531,68141
515,11929,97
516,11929,441
517,8467,12
518,8467,11061
519,10451,5528
520,10451,10565
521,10451,25345
522,20156,14
523,20156,10166
524,20156,12800
525,18395,11308
526,522,9195
527,397,306
528,397,1382
529,397,10163
530,397,34207
531,10525,5
532,10525,97
533,27985,306
534,15789,2
535,27303,559
536,21183,21
537,10954,1429
538,10954,2359
539,10954,37581
540,72031,14
541,14275,8
542,14275,13042
543,1024,11
544,1024,14
545,1024,294
546,1024,2306
547,17207,175
548,17207,915
549,13701,5
550,13701,2630
551,13701,4564
552,14819,2
553,14819,175
554,32631,33
555,32631,11393
556,11777,4
557,628,360
558,87729,2370
559,87729,9195
560,18713,175
561,18713,9195
562,6280,33
563,6280,8816
564,9061,414
565,9061,6194
566,9061,36854
567,37108,2
568,37108,4063
569,6071,306
570,11,1
571,11,306
572,9587,5
573,19101,6194
574,49980,181
575,49980,983
576,17961,9209
577,18183,84803
578,18183,84804
579,4476,348
580,4476,559
581,4476,1656
582,11008,33
583,47504,8
584,47504,12
585,47504,285
586,32325,181
587,32325,2832
588,32325,3268
589,32325,36836
590,43742,6194
591,28313,4
592,11318,181
593,11318,798
594,11318,23022
595,3036,70
596,3036,559
597,40490,2
598,24070,559
599,8986,4
600,8986,862
601,10510,306
602,17402,915
603,38722,70
604,38722,3906
605,38722,20928
606,38722,89873
607,8438,2428
608,8438,6194
609,11593,4
610,11593,594
611,11593,761
612,1945,306
613,1945,802
614,1945,1382
615,39310,4319
616,109560,7260
617,109560,42935
618,56428,11139
619,63105,7954
620,63105,21437
621,131957,23098
622,241,508
623,241,644
624,241,4198
625,241,6194
626,241,10104
627,241,68551
628,9058,559
629,527,293
630,527,294
631,527,295
632,18220,12
633,18220,17067
634,18220,17068
635,6950,824
636,6950,2154
637,6950,6194
638,6950,16775
639,101,5
640,101,9
641,63020,28205
642,2307,915
643,680,14
644,680,59
645,680,216
646,41478,31080
647,41478,31715
648,41478,37580
649,25296,5528
650,40156,288
651,40156,1382
652,40156,53009
653,11450,316
654,11450,915
655,11450,11407
656,30304,84839
657,30304,84840
658,10452,82
659,10452,850
660,10452,5358
661,10452,6187
662,10452,6541
663,10452,7089
664,10452,8923
665,10452,18367
666,10452,18495
667,10452,53009
668,10452,75913
669,12106,559
670,161495,915
671,161495,10201
672,161495,12883
673,3586,14
674,110,38
675,110,183
676,110,591
677,110,1245
678,108,591
679,108,1610
680,109,183
681,109,591
682,109,850
683,92769,4899
684,92769,16953
685,92769,24946
686,28033,4
687,22586,4108
688,14334,29272
689,14334,29273
690,2636,2596
691,2636,6194
692,2636,11134
693,2164,347
694,2164,694
695,2164,10320
696,11395,2
697,11395,915
698,278,97
699,278,6194
700,9905,181
701,9905,359
702,9905,980
703,9905,1382
704,87078,78701
705,12527,14
706,12527,6647
707,12527,8861
708,12527,10015
709,20306,2832
710,20306,4063
711,36614,798
712,27993,12
713,27993,4733
714,27993,4734
715,31439,1078
716,31439,25299
717,9067,2231
718,9059,33
719,9059,69626
720,193,4
721,25066,4319
722,25066,11308
723,12122,33
724,11381,4
725,32636,58
726,36141,14729
727,95963,11308
728,95963,23808
729,95963,37350
730,1587,4
731,9271,4
732,2064,175
733,2064,915
734,19855,33
735,60855,8
736,60855,806
737,60855,4908
738,60855,17027
739,60855,36024
740,236,105
741,236,11840
742,236,39250
743,48287,441
744,48287,10157
745,3049,6194
746,3049,10210
747,2759,1382
748,12635,37
749,10497,8
750,10497,355
751,10497,441
752,10497,635
753,10497,5358
754,10497,8131
755,11382,14
756,9331,4
757,9331,2767
758,10731,508
759,10731,644
760,10731,6194
761,10464,12
762,34152,33
763,34152,4319
764,9495,14
765,9495,4028
766,9495,4029
767,9495,4030
768,9495,6455
769,29973,508
770,29973,644
771,29973,6194
772,29973,16823
773,888,33
774,888,56
775,888,1353
776,13,4
777,712,181
778,712,1382
779,712,10163
780,16295,441
781,16295,1947
782,48992,441
783,48992,37294
784,48992,37295
785,10879,175
786,10879,9195
787,10660,559
788,41647,181
789,41647,201
790,41647,4606
791,41647,12914
792,41647,12915
793,41647,12916
794,8587,2
795,8587,10217
796,1689,14
797,11596,12
798,854,12
799,854,552
800,9359,4564
801,9359,6194
802,23333,8
803,23333,14
804,36593,4
805,12280,23
806,12280,33
807,2788,33
808,2788,216
809,10427,278
810,10427,1382
811,11011,1302
812,11011,1885
813,11011,6194
814,49803,12
815,8987,33
816,8987,496
817,8987,662
818,1637,306
819,15128,8411
820,8831,33
821,8831,467
822,8831,552
823,8831,1644
824,8831,2982
825,8831,4248
826,36955,306
827,36955,574
828,10449,9195
829,10395,5
830,12160,335
831,12160,6194
832,12160,13040
833,12160,24217
834,40480,9195
835,40480,21857
836,52038,288
837,52038,2630
838,52038,11358
839,29444,37
840,29444,1382
841,26352,175
842,26352,915
843,39953,3923
844,39953,25583
845,315,170
846,18242,6215
847,18242,6216
848,18242,6217
849,11667,33
850,11667,7220
851,32502,278
852,32502,11061
853,32502,31080
854,32502,33419
855,28732,285
856,28732,826
857,28732,16835
858,75555,14280
859,75555,37300
860,42981,2
861,42981,90509
862,278939,888
863,291731,38179
864,291731,38289
865,203119,3268
866,203119,38276
867,8011,2662
868,8011,22240
869,8011,25129
870,8011,30655
871,2654,12
872,18069,12
873,19092,12
874,2758,4
875,2758,41
876,2758,258
877,38129,21222
878,10436,5
879,13595,306
880,13595,1595
881,13595,3929
882,46094,915
883,46094,1382
884,46094,10201
885,46094,12883
886,46094,82606
887,46094,82607
888,9409,9195
889,11853,306
890,11853,89311
891,16771,8
892,16771,97
893,16771,16737
894,46924,6194
895,46924,7049
896,46924,58750
897,46924,79560
898,46924,79561
899,11041,306
900,306,4
901,306,30
902,14522,6194
903,26203,12
904,178,2231
905,178,8411
906,19819,4
907,57834,14150
908,57834,18070
909,4722,6194
910,4722,10098
911,4722,10099
912,18215,70969
913,1607,7429
914,1607,11308
915,26391,9195
916,117553,5
917,117553,1350
918,6075,33
919,6075,1988
920,6075,11393
921,11310,5
922,11310,97
923,18658,8411
924,9350,559
925,9350,5358
926,9350,14723
927,9350,23246
928,9350,45728
929,9350,45729
930,9612,4
931,2124,915
932,2124,1504
933,26261,559
934,19176,23
935,19176,33
936,49299,8411
937,49299,36863
938,49299,36864
939,49299,36865
940,49299,68062
941,11566,5739
942,11566,6194
943,11566,8816
944,9571,37
945,9571,6556
946,9571,10932
947,9739,1885
948,9739,6194
949,34444,8
950,26141,8411
951,10997,708
952,10997,2269
953,10997,36863
954,50463,41
955,50463,365
956,10443,705
957,10443,6194
958,16297,705
959,16297,6194
960,18551,4
961,18551,705
962,18551,19534
963,25440,8
964,9024,13
965,9024,23
966,37233,4
967,37233,932
968,37233,1302
969,1634,104
970,1634,508
971,1634,644
972,1634,6194
973,1634,23397
974,13815,14
975,5503,6194
976,35588,5
977,2087,33
978,2087,1644
979,41579,8411
980,18620,1422
981,18620,8888
982,18620,89521
983,18620,89522
984,18620,89523
985,41006,37
986,4916,915
987,2019,33
988,2019,467
989,2019,11462
990,31642,508
991,31642,6194
992,9255,306
993,9255,11751
994,26271,272
995,26271,1930
996,26271,10348
997,10612,14
998,10612,983
999,2259,118
1000,2259,705
1001,2259,850
1002,2259,10598
1003,2259,13096
1004,2259,33027
1005,11934,1382
1006,11934,1885
1007,11934,6194
1008,11934,10163
1009,11934,23873
1010,106143,18
1011,106143,441
1012,12475,915
1013,9386,97
1014,9386,441
1015,7984,33
1016,7984,2307
1017,59930,9195
1018,15765,9195
1019,31643,4
1020,31643,11407
1021,6,33
1022,6,1644
1023,6,4248
1024,329,33
1025,329,56
1026,10909,278
1027,10909,3589
1028,507,285
1029,34024,37
1030,29918,4
1031,9593,441
1032,9593,55528
1033,42580,9195
1034,22317,11308
1035,1413,360
1036,1413,6194
1037,12121,508
1038,12121,6194
1039,2246,5
1040,2246,12
1041,2246,97
1042,2246,1023
1043,10502,4564
1044,10502,6194
1045,10440,559
1046,9516,12
1047,2320,1885
1048,2320,6194
1049,5879,6116
1050,5879,13139
1051,5879,14668
1052,83718,8888
1053,83718,10565
1054,11971,3102
1055,11971,8827
1056,2625,559
1057,2625,1177
1058,31911,6194
1059,31911,8888
1060,31911,16827
1061,788,306
1062,788,10230
1063,21450,10100
1064,21450,10932
1065,11231,441
1066,41588,508
1067,41588,644
1068,41588,4198
1069,41588,6194
1070,41588,10104
1071,10447,441
1072,10447,1280
1073,10447,1755
1074,10447,4972
1075,31586,5
1076,31586,12
1077,31586,97
1078,9300,11912
1079,9300,27593
1080,9300,36765
1081,9559,171
1082,9559,6194
1083,9800,559
1084,9800,1274
1085,713,418
1086,713,5186
1087,713,7832
1088,713,14089
1089,8291,5
1090,18133,9195
1091,25557,915
1092,22588,33
1093,10872,9195
1094,10872,10288
1095,1245,5
1096,1245,2370
1097,11858,1504
1098,11858,9195
1099,7007,306
1100,7007,8780
1101,10467,5
1102,10467,10157
1103,5550,41
1104,8005,9
1105,8005,306
1106,8005,5612
1107,2088,10163
1108,2088,31080
1109,2088,36907
1110,10412,5186
1111,10412,11840
1112,10412,39712
1113,10412,50619
1114,47889,75712
1115,47889,75713
1116,14534,559
1117,56583,14374
1118,56583,36789
1119,56583,36790
1120,41878,249
1121,41878,16366
1122,424,33
1123,424,56
1124,35233,306
1125,35233,28822
1126,14291,932
1127,103413,508
1128,103413,644
1129,103413,6194
1130,103413,37265
1131,11236,70
1132,11236,6194
1133,11592,11308
1134,11592,17411
1135,8850,33
1136,10445,5553
1137,10445,11308
1138,695,8
1139,695,272
1140,695,408
1141,43535,9195
1142,12519,14
1143,12519,25158
1144,12519,25159
1145,12519,25160
1146,23210,8411
1147,23210,10104
1148,23210,36889
1149,858,559
1150,867,4
1151,867,94856
1152,78,5798
1153,78,6194
1154,78,7965
1155,13203,915
1156,10442,559
1157,11074,5848
1158,11074,6386
1159,9607,915
1160,9607,1504
1161,9607,1755
1162,9607,5888
1163,9607,12288
1164,17585,12
1165,9057,915
1166,9057,1382
1167,9057,10201
1168,9057,12883
1169,20967,164
1170,10635,559
1171,10635,11061
1172,9479,8601
1173,9479,8835
1174,9479,9195
1175,10057,2
1176,10057,175
1177,11969,915
1178,11969,1504
1179,41590,6194
1180,41590,10210
1181,319,342
1182,319,3322
1183,319,6194
1184,319,10210
1185,15139,306
1186,15139,6189
1187,161158,806
1188,161158,1203
1189,161158,2480
1190,85247,10348
1191,85247,37572
1192,51980,82
1193,51980,83
1194,51980,1524
1195,24405,6194
1196,24405,10210
1197,11655,6566
1198,11800,8
1199,11800,2658
1200,8223,7832
1201,8223,11736
1202,14587,5778
1203,31504,5
1204,31504,97
1205,41653,157
1206,41653,235
1207,41653,6181
1208,41653,7446
1209,17600,8
1210,17600,55150
1211,17600,55151
1212,10897,33
1213,10897,56
1214,10897,23506
1215,21352,4
1216,37345,559
1217,32562,58
1218,32562,181
1219,32562,201
1220,32562,1606
1221,32562,3268
1222,32562,3614
1223,32562,4606
1224,32562,58855
1225,25403,9364
1226,25403,16366
1227,25403,20769
1228,124304,37352
1229,124304,37353
1230,124304,37354
1231,9066,4
1232,771,306
1233,771,477
1234,251,4
1235,812,2
1236,280,574
1237,280,1280
1238,280,5358
1239,280,14723
1240,280,61409
1241,581,335
1242,581,2630
1243,80350,16636
1244,268,1382
1245,268,4357
1246,268,6194
1247,274,41
1248,274,55072
1249,408,3166
1250,10020,2
1251,10020,6125
1252,10020,10282
1253,10895,6
1254,10895,3166
1255,114,9195
1256,114,10282
1257,41043,7399
1258,41043,23647
1259,41043,38963
1260,576,4051
1261,15477,4063
1262,59146,5551
1263,30528,306
1264,30528,46108
1265,7300,306
1266,7300,711
1267,7300,10103
1268,7300,81131
1269,10824,278
1270,10824,1382
1271,261246,5996
1272,275,1382
1273,275,10163
1274,25059,2
1275,11827,4952
1276,8766,14
1277,8766,7405
1278,8766,15343
1279,23570,14
1280,23570,65446
1281,47333,14
1282,10112,3166
1283,4307,49
1284,4307,105
1285,46029,1382
1286,46029,6861
1287,46029,9195
1288,46029,10201
1289,46029,20295
1290,46029,21108
1291,32308,33
1292,52873,356
1293,52873,635
1294,44281,71842
1295,44281,75423
1296,44281,75424
1297,28121,12
1298,28121,11308
1299,12520,441
1300,12520,6032
1301,12520,38091
1302,1592,4
1303,19042,8411
1304,38884,45
1305,38884,225
1306,38884,315
1307,38884,744
1308,38884,850
1309,38884,982
1310,38884,983
1311,38884,986
1312,38884,3324
1313,38884,6639
1314,38884,9335
1315,38884,10163
1316,38884,12745
1317,38884,14245
1318,38884,30226
1319,47449,1302
1320,47449,38179
1321,47449,38180
1322,36259,12
1323,41852,60
1324,9099,23
1325,9099,33
1326,2021,247
1327,2021,271
1328,2021,5358
1329,2021,20777
1330,2021,31080
1331,61752,43
1332,61752,4319
1333,10988,976
1334,10988,3668
1335,10988,6194
1336,10988,10210
1337,11479,311
1338,11479,3823
1339,11479,5358
1340,11479,9195
1341,11479,14191
1342,398959,101
1343,398959,80481
1344,287305,7025
1345,339428,191
1346,10684,306
1347,10684,1302
1348,954,4
1349,954,44
1350,68445,7325
1351,68445,7326
1352,68445,7327
1353,18989,2231
1354,18989,8411
1355,18989,10355
1356,10801,47
1357,54285,6636
1358,8840,33
1359,11107,915
1360,11107,1382
1361,11107,3492
1362,16417,1066
1363,16417,38208
1364,16417,38209
1365,10363,641
1366,10363,7046
1367,10363,11290
1368,161070,247
1369,161070,20928
1370,161070,38178
1371,10539,2
1372,10539,1755
1373,10543,23
1374,10543,33
1375,18414,4
1376,18414,126
1377,47502,12
1378,47502,14
1379,11902,653
1380,11902,6242
1381,27098,17666
1382,25087,10354
1383,5801,1984
1384,896,26424
1385,3065,33
1386,3065,37
1387,3065,1310
1388,2300,3592
1389,2300,8816
1390,2300,55527
1391,8069,4
1392,8069,1216
1393,8069,1497
1394,288173,4106
1395,221917,97
1396,221917,441
1397,221917,16832
1398,8072,46654
1399,8072,54659
1400,8072,63558
1401,35797,875
1402,35797,900
1403,35797,16772
1404,83857,52599
1405,33245,5270
1406,27281,2
1407,27281,10201
1408,105045,264
1409,105045,310
1410,105045,1712
1411,105045,5358
1412,105045,5982
1413,105045,7025
1414,40001,559
1415,29621,8331
1416,29621,23098
1417,29621,38955
1418,20762,285
1419,48260,1854
1420,48260,8095
1421,48260,12745
1422,12656,8
1423,12656,216
1424,38867,12
1425,38867,2480
1426,38867,26109
1427,25969,12
1428,44103,4655
1429,753,452
1430,753,453
1431,753,454
1432,43634,1382
1433,43634,9195
1434,43634,10201
1435,9103,33
1436,9103,2982
1437,9103,10828
1438,9103,38114
1439,29649,216
1440,29649,559
1441,10990,8411
1442,8866,306
1443,8866,55140
1444,12233,2
1445,12233,554
1446,23449,175
1447,23449,915
1448,36355,33
1449,36355,27128
1450,36355,38181
1451,37667,1066
1452,37667,3324
1453,37667,53009
1454,90148,14
1455,922,182
1456,922,254
1457,922,506
1458,922,663
1459,11876,83
1460,11876,582
1461,11876,5358
1462,52633,17777
1463,11687,104
1464,11687,7961
1465,11687,16804
1466,9304,441
1467,73183,33624
1468,9100,5
1469,20759,306
1470,20759,54051
1471,20759,89312
1472,46063,9195
1473,40651,254
1474,40651,3541
1475,40651,64448
1476,36915,12
1477,36915,364
1478,36915,6137
1479,36915,10171
1480,36915,11308
1481,40507,11787
1482,9802,915
1483,9802,10288
1484,25697,364
1485,25697,1121
1486,25697,11308
1487,21588,5358
1488,21588,8694
1489,21588,11011
1490,21588,12242
1491,21588,13837
1492,21588,20849
1493,21588,86308
1494,664,33
1495,664,56
1496,664,6194
1497,664,23370
1498,11867,278
1499,11867,552
1500,11867,1382
1501,47119,83
1502,47119,1524
1503,47119,5358
1504,47119,18367
1505,47119,28400
1506,47119,93503
1507,314352,101
1508,314352,740
1509,314352,9023
1510,9323,528
1511,9323,6999
1512,9323,12657
1513,10280,4
1514,10280,10355
1515,10535,915
1516,124613,19262
1517,532,297
1518,26744,3333
1519,26744,19760
1520,16299,12
1521,16299,11308
1522,10547,285
1523,10547,12450
1524,10547,12451
1525,245268,8411
1526,935,88
1527,935,441
1528,55613,6697
1529,55613,6698
1530,55613,6700
1531,41007,14
1532,41007,36995
1533,35645,33
1534,35645,11393
1535,35645,69627
1536,110465,8411
1537,255546,181
1538,255546,21454
1539,40751,708
1540,11101,998
1541,11101,1704
1542,11101,21948
1543,11101,23417
1544,9826,4
1545,9826,79
1546,9826,7965
1547,9879,5
1548,9879,97
1549,22621,4125
1550,7095,70
1551,7095,915
1552,7095,2173
1553,26890,2492
1554,26890,17179
1555,26890,28205
1556,46732,8
1557,46732,17064
1558,124633,393
1559,124633,5358
1560,124633,5983
1561,124633,16975
1562,124633,18188
1563,124633,30226
1564,124633,86296
1565,202425,2359
1566,202425,11796
1567,202425,43860
1568,202425,66451
1569,202425,72598
1570,77771,72471
1571,77771,72472
1572,181083,72469
1573,41225,512
1574,41225,2260
1575,41225,7508
1576,41225,73349
1577,87190,1152
1578,87190,21072
1579,87190,21073
1580,87190,21074
1581,87190,21075
1582,87190,21076
1583,627,14
1584,627,181
1585,627,358
1586,627,359
1587,627,9349
1588,32872,4
1589,32872,126
1590,602,306
1591,602,347
1592,14553,43
1593,14553,11561
1594,14553,14698
1595,14553,15671
1596,14553,20783
1597,9566,559
1598,9566,1236
1599,10545,2
1600,9894,441
1601,11543,2090
1602,11543,8411
1603,9268,824
1604,9268,6194
1605,9327,23
1606,9327,33
1607,123763,61085
1608,81949,104
1609,81949,6274
1610,183955,4095
1611,183955,50180
1612,44535,231
1613,44535,21304
1614,44535,25129
1615,78285,875
1616,78285,16772
1617,11228,33
1618,11228,1302
1619,10779,11
1620,10779,33
1621,26748,97
1622,26748,441
1623,26748,11948
1624,38223,4
1625,38223,2070
1626,38223,2348
1627,9294,9195
1628,49963,181
1629,49963,254
1630,49963,3644
1631,49963,10565
1632,49963,11912
1633,49963,53407
1634,49963,53408
1635,11363,43
1636,1645,508
1637,1645,6194
1638,31546,181
1639,31546,826
1640,31546,2154
1641,31546,28205
1642,31546,28206
1643,77056,5358
1644,77056,30232
1645,36344,97
1646,36344,441
1647,36344,87554
1648,18550,8411
1649,11511,9195
1650,11511,10201
1651,172198,1655
1652,172198,7248
1653,172198,8138
1654,34170,60
1655,34170,2231
1656,34170,2630
1657,124645,3324
1658,12606,4
1659,35206,41954
1660,35206,56112
1661,4837,109
1662,4837,223
1663,9098,328
1664,9098,2572
1665,18975,12
1666,18975,2499
1667,18975,11308
1668,2925,258
1669,28628,1422
1670,28628,3324
1671,28628,17179
1672,3595,9195
1673,3595,90663
1674,9308,559
1675,92381,41
1676,92381,285
1677,18555,11661
1678,18555,24827
1679,18555,26192
1680,12123,306
1681,12123,2377
1682,12123,20004
1683,10830,216
1684,10830,559
1685,3573,14
1686,3573,1363
1687,3573,1443
1688,10546,14
1689,18862,8411
1690,18862,11661
1691,31417,1679
1692,31417,13437
1693,9431,33
1694,9431,69626
1695,9431,69627
1696,144982,5333
1697,47907,97
1698,10061,4
1699,10061,11661
1700,36266,1871
1701,36266,5358
1702,36266,5869
1703,36266,6849
1704,36266,11793
1705,36266,16366
1706,36266,18367
1707,36266,21331
1708,36266,78239
1709,36266,78240
1710,549,53009
1711,549,93380
1712,549,93381
1713,10478,508
1714,10478,6194
1715,66634,2756
1716,116690,4641
1717,213917,6274
1718,238,4
1719,238,10211
1720,159,47
1721,159,99
1722,11134,2521
1723,11134,3054
1724,88224,2974
1725,132641,882
1726,9303,10308
1727,9303,10355
1728,23945,508
1729,23945,6194
1730,37820,8724
1731,37820,11840
1732,37820,31317
1733,22479,8
1734,22479,7832
1735,22479,37163
1736,9054,175
1737,9054,915
1738,9054,961
1739,11985,25345
1740,10232,2592
1741,59569,525
1742,59569,15123
1743,38955,2521
1744,11015,4
1745,11015,33
1746,11015,657
1747,11015,762
1748,11015,1280
1749,11015,1382
1750,11015,4650
1751,11015,7237
1752,11015,15278
1753,9306,12
1754,12559,2
1755,12559,175
1756,58770,33
1757,58770,37
1758,58770,56
1759,3587,508
1760,3587,1484
1761,3587,6194
1762,10723,33
1763,56077,4169
1764,56077,90100
1765,56077,90101
